"DesignName","Gates","Edges","DesignPath","CellLib","FileType","Category","Time","Inputs","Outputs","NrDffs"
"automated_osu035_des_latest_final_sbox4",153,365,"./automated_osu035/automated_osu035_des_latest_final_sbox4.v","automated_osu035","v","aes, crypto, sbox",1536250537.42656,6,4,0
"automated_osu035_des_latest_final_sbox5",152,363,"./automated_osu035/sboxes/automated_osu035_des_latest_final_sbox5.v","automated_osu035","v","aes, crypto, sbox",1521198115.98554,6,4,"{}"
"automated_osu035_des_latest_final_sbox5",152,355,"./automated_osu035/automated_osu035_des_latest_final_sbox5.v","automated_osu035","v","aes, crypto, sbox",1536250537.55056,6,4,0
"automated_osu035_des_latest_final_sbox6",144,344,"./automated_osu035/sboxes/automated_osu035_des_latest_final_sbox6.v","automated_osu035","v","aes, crypto, sbox",1521198115.98554,6,4,"{}"
"automated_osu035_des_latest_final_sbox6",147,347,"./automated_osu035/automated_osu035_des_latest_final_sbox6.v","automated_osu035","v","aes, crypto, sbox",1536250537.62656,6,4,0
"automated_osu035_des_latest_final_sbox7",154,367,"./automated_osu035/automated_osu035_des_latest_final_sbox7.v","automated_osu035","v","aes, crypto, sbox",1536250537.74256,6,4,0
"automated_osu035_des_latest_final_sbox7",150,352,"./automated_osu035/sboxes/automated_osu035_des_latest_final_sbox7.v","automated_osu035","v","aes, crypto, sbox",1521198115.98554,6,4,"{}"
"automated_osu035_des_latest_final_sbox8",151,353,"./automated_osu035/automated_osu035_des_latest_final_sbox8.v","automated_osu035","v","aes, crypto, sbox",1536250537.79856,6,4,0
"automated_osu035_des_latest_final_sbox8",152,357,"./automated_osu035/sboxes/automated_osu035_des_latest_final_sbox8.v","automated_osu035","v","aes, crypto, sbox",1521198115.98554,6,4,0
"automated_osu035_double_fpu_latest_final_fpu",64809,154279,"./automated_osu035/automated_osu035_double_fpu_latest_final_fpu.v","automated_osu035","v","fpu",1536251419.65785,136,70,0
