file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_nangate_sha3_latest_final_round2in1.gml,30864,65330,1614,1600,9445,4365,15982,4.23,True
automated_nangate_cookbook_final_gf_mult_by_22.gml,38,43,8,8,11,0,13,2.26,True
automated_nangate_cookbook_final_pipeline_add.gml,246,430,42,20,19,25,47,3.5,True
automated_nangate_cookbook_final_gf_mult_by_36.gml,38,44,8,8,14,0,14,2.32,True
automated_nangate_cookbook_final_random_delay.gml,24,16,8,8,0,0,0,1.33,False
automated_nangate_cookbook_final_gf_mult_by_e1.gml,45,58,8,8,12,0,21,2.58,True
automated_nangate_md5_core-master_final_md5_fsm.gml,5049,11831,35,128,275,1092,1321,4.69,True
automated_nangate_cookbook_final_five_to_twenty.gml,6059,11032,334,1322,1,3,2,3.64,True
automated_nangate_cookbook_final_gf_mult_by_51.gml,40,46,8,8,10,0,14,2.3,True
automated_nangate_cookbook_final_gf_mult_by_bd.gml,43,54,8,8,14,0,19,2.51,True
automated_nangate_cookbook_final_gf_mult_by_79.gml,45,58,8,8,14,0,21,2.58,True
automated_nangate_cookbook_final_gf_mult_by_b2.gml,44,55,8,8,14,0,19,2.5,True
automated_nangate_ecg_latest_final_f3m_add3.gml,3298,6014,582,194,0,194,776,3.65,False
automated_nangate_rsencoder_latest_final_rs_encod.gml,3943,7453,139,128,1848,993,2184,3.78,True
automated_nangate_cookbook_final_twenty_to_fiv.gml,6914,13544,1324,332,1,335,4,3.92,True
automated_nangate_signed_integer_divider_latest_final_shift_7.gml,229,387,39,32,0,6,5,3.38,True
automated_nangate_cookbook_final_unstable_counters.gml,72,64,0,8,40,0,56,1.78,False
automated_nangate_cookbook_final_gf_mult_by_9d.gml,35,38,8,8,5,0,11,2.17,True
automated_nangate_jt51_latest_final_jt51_sh2.gml,372,854,8,5,0,0,0,4.59,True
automated_nangate_orsoc_graphics_accelerator_final_gfx_clip.gml,4461,9123,415,189,195,720,1333,4.09,False
automated_nangate_sha_core_latest_final_sha1.gml,7279,17910,38,36,406,762,1800,4.92,True
automated_nangate_altor32_latest_final_altor32_lit.gml,9276,23705,39,76,118,1008,1253,5.11,False
automated_nangate_iscas_final_TopLevel74181.gml,75,136,14,8,4,13,17,3.63,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult242.gml,45,58,8,8,14,0,21,2.58,True
automated_nangate_iscas_final_MUX21H.gml,6,5,3,1,0,0,0,1.67,True
automated_nangate_cookbook_final_gf_mult_by_2.gml,43,54,8,8,10,0,19,2.51,True
automated_nangate_ecg_latest_final_func10.gml,26737,58160,390,389,0,3913,4134,4.35,True
automated_nangate_cookbook_final_gf_mult_by_d.gml,42,52,8,8,15,0,18,2.48,True
automated_nangate_present_encryptor_latest_final_key_updat.gml,340,292,85,80,7,2,8,1.72,False
automated_nangate_ecg_latest_final_f3_add.gml,20,33,4,2,0,1,4,3.3,True
automated_nangate_edge_latest_final_adder.gml,342,528,65,33,41,49,97,3.09,True
automated_nangate_cookbook_final_sub_bytes.gml,9600,25536,128,128,0,3264,2992,5.32,False
automated_nangate_csa_latest_final_sbox1.gml,47,94,5,2,0,8,16,4.0,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult90.gml,46,60,8,8,13,0,22,2.61,True
automated_nangate_openmsp430_latest_final_in_buf.gml,3,2,1,1,0,0,0,1.33,True
automated_nangate_ecg_latest_final_func4.gml,1397,2179,198,196,0,196,196,3.12,True
automated_nangate_iscas_final_s1238.gml,589,1125,15,14,0,259,169,3.82,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult108.gml,41,50,8,8,6,0,17,2.44,True
automated_nangate_cookbook_final_crc32c_dat64_flat.gml,1386,2489,96,32,909,0,1199,3.59,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Invers.gml,571,973,11,9,110,147,172,3.41,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult121.gml,45,58,8,8,15,0,21,2.58,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult46.gml,38,43,8,8,11,0,13,2.26,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult135.gml,38,44,8,8,14,0,14,2.32,True
automated_nangate_xge_mac_latest_final_fault_sm.gml,172,425,6,2,6,27,54,4.94,True
