file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_gscl45nm_mips_16_latest_final_mips_16_core_top.gml,21209,44406,2,8,11,2326,1872,4.19,True
automated_gscl45nm_mesi_isc_final_mesi_isc_broad.gml,1592,3094,43,45,5,380,394,3.89,True
automated_gscl45nm_iscas_final_s15850.gml,11132,15381,77,150,0,2680,1043,2.76,False
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult214.gml,45,58,8,8,12,0,21,2.58,True
automated_gscl45nm_cookbook_final_ternary_sum_ni.gml,555,941,73,12,80,115,248,3.39,True
automated_gscl45nm_ecg_latest_final_f3m_mux3.gml,1982,2367,585,194,0,582,388,2.39,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult200.gml,41,48,8,8,8,0,15,2.34,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult228.gml,41,50,8,8,8,0,17,2.44,True
automated_gscl45nm_cookbook_final_crc32_dat72_flat.gml,1620,2932,104,32,686,0,1416,3.62,True
automated_gscl45nm_cookbook_final_three_two_comp.gml,12,14,3,2,2,2,3,2.33,True
automated_gscl45nm_des-master_final_des3.gml,4999,9259,240,64,82,2457,1766,3.7,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult62.gml,42,52,8,8,10,0,18,2.48,True
automated_gscl45nm_mriscv_final_latchW_ap.gml,28,37,6,3,0,9,3,2.64,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult76.gml,44,56,8,8,6,0,20,2.55,True
automated_gscl45nm_cookbook_final_gf_mult_by_39.gml,46,59,8,8,7,0,21,2.57,True
automated_gscl45nm_cookbook_final_gf_mult_by_f2.gml,46,60,8,8,10,0,22,2.61,True
automated_gscl45nm_iscas_final_c6288.gml,1670,3151,32,32,356,724,712,3.77,True
automated_gscl45nm_trigonometric_functions_in_double_fpu_latest_final_tangent_lut.gml,2183,4320,34,64,0,451,1347,3.96,True
automated_gscl45nm_edge_latest_final_shifter_right_arithmeti.gml,454,792,37,32,0,148,98,3.49,True
automated_gscl45nm_openmsp430_latest_final_omsp_gpio.gml,1178,1942,51,162,0,223,159,3.3,False
automated_gscl45nm_openmsp430_latest_final_spartan3a_dmem.gml,32,16,0,16,0,0,0,1.0,False
automated_gscl45nm_siphash-master_final_siphas.gml,7755,15927,44,32,583,2255,2387,4.11,True
automated_gscl45nm_cookbook_final_gf_mult_by_05.gml,35,38,8,8,8,0,11,2.17,True
automated_gscl45nm_cookbook_final_gf_mult_by_fd.gml,47,62,8,8,8,0,23,2.64,True
automated_gscl45nm_tiny_tate_bilinear_pairing_latest_final_f3_add.gml,25,37,4,2,0,7,5,2.96,True
automated_gscl45nm_apbtoaes128_latest_final_mix_columns.gml,359,520,32,64,92,0,193,2.9,True
automated_gscl45nm_cookbook_final_gf_mult_by_11.gml,36,40,8,8,4,0,12,2.22,True
automated_gscl45nm_two_dimensional_fast_hartley_transform_latest_final_dpsram_128x16.gml,64,32,0,32,0,0,0,1.0,False
automated_gscl45nm_m32632_latest_final_SP_FPU.gml,4019,7969,129,75,307,946,1249,3.97,True
automated_gscl45nm_gost28147-89_latest_final_gost89_cf.gml,4987,7979,836,65,119,1410,1324,3.2,True
automated_gscl45nm_cookbook_final_gf_mult_by_a.gml,34,36,8,8,7,0,10,2.12,True
automated_gscl45nm_openmsp430_latest_final_altera_avalon_sc_fifo.gml,1161,2203,15,49,16,267,269,3.8,False
automated_gscl45nm_cookbook_final_crc24_zer64_flat.gml,273,450,24,24,78,0,201,3.3,True
automated_gscl45nm_cookbook_final_gf_mult_by_7.gml,48,63,8,8,12,0,23,2.62,True
automated_gscl45nm_cookbook_final_gf_mult_by_6.gml,37,42,8,8,3,0,13,2.27,True
automated_gscl45nm_iscas_final_DFF.gml,5,4,2,1,0,0,0,1.6,True
automated_gscl45nm_cookbook_final_gf_mult_by_10.gml,35,38,8,8,3,0,11,2.17,True
automated_gscl45nm_cookbook_final_gf_mult_by_04.gml,30,28,8,8,2,0,6,1.87,False
automated_gscl45nm_cookbook_final_gf_mult_by_1f.gml,44,55,8,8,11,0,19,2.5,True
automated_gscl45nm_turbo8051_latest_final_oc8051_ports.gml,723,1251,54,64,0,236,145,3.46,True
automated_gscl45nm_cookbook_final_gf_mult_by_38.gml,45,56,8,8,9,0,19,2.49,True
