file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_osu018_cookbook_final_gf_mult_by_48.gml,73,125,8,8,5,14,24,3.42,True
automated_osu018_iscas_final_FDMASK.gml,7,6,3,1,0,1,0,1.71,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult201.gml,76,136,8,8,3,21,14,3.58,True
automated_osu018_orsoc_graphics_accelerator_final_gfx_renderer.gml,4870,11411,163,68,58,1548,564,4.69,True
automated_osu018_gost28147-89_latest_final_gost89_round.gml,2120,3268,608,64,50,381,419,3.08,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult215.gml,97,177,8,8,4,27,22,3.65,True
automated_osu018_gng_latest_final_gng_lzd.gml,235,366,61,6,0,29,42,3.11,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult229.gml,77,137,8,8,3,25,18,3.56,True
automated_osu018_cookbook_final_five_to_twenty.gml,7679,12652,334,1322,0,7,2,3.3,True
automated_osu018_tiny_aes_latest_final_xS.gml,690,1759,9,8,0,165,178,5.1,True
automated_osu018_Lightweight-Threshold-Implementations-master_final_round.gml,32,53,6,2,2,7,7,3.31,True
automated_osu018_cookbook_final_gf_mult_by_89.gml,80,132,8,8,4,23,20,3.3,True
automated_osu018_sha1-master_final_sha1_cor.gml,9688,20684,516,162,76,1393,1038,4.27,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult203.gml,76,130,8,8,5,11,23,3.42,True
automated_osu018_epfl_final_mem_ctrl.gml,36141,80184,1204,1231,40,4328,4252,4.44,False
automated_osu018_aes_highthroughput_lowarea_latest_final_aes_top_exampl.gml,43969,96567,45,35,2514,6554,11387,4.39,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult217.gml,59,97,8,8,5,13,16,3.29,True
automated_osu018_rs_decoder_31_19_6_latest_final_lcpmult.gml,136,289,10,5,1,49,24,4.25,True
automated_osu018_crcahb_latest_final_crc_ip.gml,5271,10193,44,34,8,1388,807,3.87,False
automated_osu018_cookbook_final_gf_mult_by_6d.gml,50,73,8,8,5,5,17,2.92,True
automated_osu018_openmsp430_latest_final_altera_avalon_sc_fifo.gml,1211,2482,15,49,2,413,61,4.1,False
automated_osu018_ft816float_latest_final_cntlz8.gml,34,48,8,4,0,3,5,2.82,True
automated_osu018_cookbook_final_compress_32.gml,256,384,48,32,0,64,32,3.0,False
automated_osu018_cookbook_final_gf_mult_by_a1.gml,77,129,8,8,5,12,26,3.35,True
automated_osu018_cookbook_final_gf_mult_by_c9.gml,42,52,8,8,5,3,12,2.48,True
